%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82969.180,299.364,0.966,15.040,109.204,0.178,109.778,109.989,113.260,113.961,113.875,111.055,110.071,111.434,111.958,113.284,115.484,109.281,116.543,113.769,112.982,111.011,-11.000,-0.802,-0.457,-0.052,-90.212,215.549
82969.180,299.364,0.966,15.035,109.125,-0.142,108.479,110.547,113.153,112.916,113.551,110.119,110.391,110.791,112.741,113.075,115.273,109.281,115.496,113.350,112.566,110.898,-11.000,-0.783,-0.437,-0.053,-90.228,215.549
82969.180,299.364,0.966,15.035,109.125,0.178,108.587,110.770,113.046,113.020,113.875,110.951,109.215,110.469,112.181,112.657,115.695,109.174,116.229,113.455,112.566,111.236,-11.000,-0.763,-0.427,-0.052,-90.179,215.560
82965.148,299.364,0.965,15.035,109.125,0.178,107.938,110.770,113.474,113.647,113.659,110.327,109.857,110.147,111.958,112.657,114.956,109.068,116.125,113.559,112.670,111.349,-11.000,-0.763,-0.427,-0.052,-90.196,215.560
82965.148,299.364,0.965,15.030,109.046,0.018,108.696,110.100,112.618,113.752,113.335,110.847,110.178,110.791,111.399,112.970,115.589,108.962,116.439,113.455,112.878,111.575,-11.000,-0.802,-0.457,-0.052,-90.261,215.539
82969.180,299.359,0.966,15.035,109.125,0.018,108.587,110.882,113.153,113.125,113.875,110.223,110.391,110.898,112.517,113.075,115.695,109.387,115.915,113.978,112.878,110.898,-11.000,-0.802,-0.427,-0.052,-90.212,215.549
82961.117,299.366,0.965,15.041,109.204,0.178,108.696,110.882,113.260,113.125,113.335,110.743,109.429,110.791,112.070,113.284,115.378,109.600,116.543,113.245,112.774,111.462,-11.000,-0.763,-0.437,-0.053,-90.212,215.549
82969.180,299.364,0.966,15.046,109.283,0.178,107.830,110.547,113.046,113.334,113.767,110.847,110.285,110.362,111.958,112.866,114.850,109.281,116.229,113.559,112.878,111.349,-11.000,-0.783,-0.427,-0.052,-90.212,215.560
82965.148,299.367,0.965,15.041,109.204,0.178,108.479,110.212,113.046,113.334,113.010,110.431,110.498,110.791,111.846,112.970,116.012,109.281,115.811,113.664,112.566,111.236,-11.000,-0.783,-0.437,-0.052,-90.228,215.549
82965.148,299.361,0.965,15.051,109.362,0.178,108.696,110.882,112.618,113.752,114.092,110.223,110.178,110.791,112.070,112.970,115.273,109.813,115.811,113.664,112.566,110.785,-11.000,-0.783,-0.437,-0.052,-90.196,215.549
